TIER,Timestamp,Timeframe,Session,POI Type,Event,Previous Candle,Delta total,avg delta,Delta,Delta change (x),Avg OI change,Current OI change,OI change,Liq,MFE (%),MAE (%),RR,MFE to Trigger,Outcome
B,2025-09-15T18:55:00.000Z,5,NY,Monday High,Breakout,50,-27.124528782230698,-27.124528782230698,305.73599999997083,3.0122499854082156,84.59827260524936,250.99899999999616,250.99899999999616,4942.336349509624,,,,,
B,2025-09-15T19:00:00.000Z,15,NY,Monday High,Breakout,50,-67.37573616807255,-67.37573616807255,580.1919999999031,3.0299683952455516,148.81572814853243,616.2970000000059,616.2970000000059,29244.621423226316,,,,,
B,2025-09-15T19:15:00.000Z,5,NY,,Breakdown,50,-5.185534425788078,-5.185534425788078,-332.59199999995997,3.3133319491344433,84.21483331085687,-275.0890000000072,-275.0890000000072,0,,,,,
B,2025-09-16T01:00:00.000Z,5,Asia,Monday Open,Breakout,50,-10.816657712066224,-10.816657712066224,126.53200000000069,4.695070276725139,19.253888151318467,57.36000000000058,57.36000000000058,0,,,,,
B,2025-09-16T01:35:00.000Z,5,Asia,Monday High,Breakdown,50,-1.6493052947664661,-1.6493052947664661,-111.87400000000179,3.9959599189482593,22.04259453263794,60.189999999987776,60.189999999987776,0,,,,,
B,2025-09-16T01:40:00.000Z,5,Asia,,Breakdown,50,-5.971842342030596,-5.971842342030596,-90.94799999999698,2.906979702363314,23.53857121763205,134.56800000001385,134.56800000001385,0,,,,,
B,2025-09-16T01:55:00.000Z,5,Asia,Monday Open,Breakdown,50,-8.566459775633371,-8.566459775633371,-93.56799999999997,2.784060369936199,27.364837439470882,-70.66000000000349,-70.66000000000349,0,,,,,
B,2025-09-16T03:35:00.000Z,5,Asia,Monday High,Breakout,50,-1.819996565709263,-1.819996565709263,70.5410000000004,2.706651691978937,21.76465573683394,-45.84200000000419,-45.84200000000419,0,,,,,
B,2025-09-16T16:50:00.000Z,5,NY,,Breakout,50,0.9777320093813252,0.9777320093813252,63.7579999999993,3.0258924256494497,20.768733549377913,154.4780000000028,154.4780000000028,0,,,,,
B,2025-09-16T16:55:00.000Z,5,NY,,Breakout,50,3.304812977518067,3.304812977518067,34.83000000000016,1.5938415398791692,24.99214657902985,56.879999999990105,56.879999999990105,0,,,,,
